ENA_id	Dataset	Country	Amikacin	Capreomycin	Ciprofloxacin	Cycloserine	Ethambutol	Ethionamide	Isoniazid	Kanamycin	Linezolid	Moxifloxacin	Ofloxacin	PAS	Pyrazinamide	Rifabutin	Rifampicin	Streptomycin
ERR046847	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046849	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046850	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046851	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046852	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046853	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046854	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046855	training	UK	U	U	S	U	S	U	R	U	U	U	U	U	U	U	R	U
ERR046857	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046858	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046859	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046860	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046861	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046862	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046863	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046864	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046865	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046866	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046867	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046869	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046871	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046872	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046873	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046874	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046875	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046876	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046877	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	R
ERR046878	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046879	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046880	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046881	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046882	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046883	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046884	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046885	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046887	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046888	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046890	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046891	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046893	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046894	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046895	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046897	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046898	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046903	training	UK	S	S	R	U	R	U	R	U	U	U	U	U	U	U	R	U
ERR046904	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046905	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046907	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046908	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046910	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046911	training	UK	U	U	R	U	R	U	S	U	U	U	U	U	U	U	S	U
ERR046913	training	UK	U	U	R	U	R	U	S	U	U	U	U	U	U	U	S	U
ERR046914	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046915	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046916	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046917	training	UK	S	S	U	U	R	U	R	U	U	U	U	U	U	U	R	S
ERR046918	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046919	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046920	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046921	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046922	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046923	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046924	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046925	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046926	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046928	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046929	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046930	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046932	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046933	training	UK	U	U	U	U	U	U	R	U	U	U	U	U	U	U	U	U
ERR046936	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046937	training	UK	U	U	S	U	S	U	U	U	U	U	U	U	U	U	U	U
ERR046938	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046939	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046940	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046941	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046942	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046943	training	UK	S	S	S	U	S	U	R	U	U	U	U	U	U	U	R	R
ERR046945	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046946	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046947	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046948	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046949	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046950	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046951	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046952	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046953	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046954	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046957	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046958	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046959	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046960	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046961	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046963	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046964	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046965	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046966	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046967	training	UK	U	U	S	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046968	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046969	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046970	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046971	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046972	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046974	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046975	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	S
ERR046980	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046981	training	UK	U	U	U	U	S	U	R	U	U	U	U	U	U	U	S	U
ERR046982	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046983	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046988	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046989	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046990	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046991	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046992	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046993	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046994	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046995	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046996	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046997	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046998	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR046999	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR047000	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR047002	training	UK	U	U	U	U	S	U	R	U	U	U	U	U	U	U	S	U
ERR047003	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR047004	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR047005	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR047006	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR047007	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR047008	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR047009	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR047010	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR047011	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
ERR047012	training	UK	U	U	U	U	S	U	S	U	U	U	U	U	U	U	S	U
